Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
26,Polešovice,,Pripojeni,9.0,389600.00,467870.00,Interni,20/10/2021,11/01/2021,17/02/2022,04/04/2022,07/01/2022, 322830.30 ,20/06/2022,11/04/2022,15/06/2022,15/06/2022, 161448.00 ,,18/07/2022,04/08/2022,18.11.2022,,, 53773.00 ,,
27,,,Nerealizovano,,,,Interni,20/10/2021,11/01/2021,,,, - ,,,,, - ,,,,,,, - ,,
28,,,Nerealizovano,9.9,385000.00,,Interni,20/10/2021,13/11/2021,,,, - ,,,,, - ,,,,,,, - ,,
29,Rohatec,,Ukonceno,9.0,230000.00,278261.00,Interni,20/10/2025,14/10/2021,25/11/2021,22/11/2021,23/11/2021, 320000.00 ,03/12/2021,30/11/2021,10/12/2021,03/12/2021, 96000.05 ,03/12/2021,28/03/2022,03/02/2022,28.04.2022,28/04/2022,23/11/2021, 32000.02 ,03/12/2021,nežádá
30,,,Nerealizovano,,,,Interni,21/10/2021,,,,, - ,,,,, - ,,,,,,, - ,,
31,Velké Bílovice,ET,Odlozeno,5.4,173130.00,235519.00,Interni,28/10/2021,24/11/2021,,,, 162508.11 ,,,,, 81254.06 ,,,,,,, 27084.69 ,,
32,Rohatec,ET,Odlozeno,5.4,295950.00,377380.00,Interni,01/09/2021,23/11/2021,,,, 260392.20 ,,,,, 130196.10 ,,,,,,, 43398.70 ,,
33,Uhřice,ET,Odlozeno,7.2,315475.00,401563.00,Interni,01/11/2021,09/11/2021,,,, 277078.47 ,,,,, 138539.24 ,,,,,,, 46179.75 ,,
34,Dražůvky,,Nerealizovano,5.4,252490.00,325977.00,Interni,01/11/2021,03/12/2021,,,, 224924.13 ,,,,, 112462.07 ,,,,,,, 37487.36 ,,
35,SK,"ET, SK",Odlozeno,9.9,365000.00,476894.00,Interni,01/11/2021,01/11/2021,,29/11/2021,23/11/2021, 329056.86 ,,,,23/11/2021, 164528.43 ,,,,,,23/11/2021, 54842.81 ,,
36,Uherský Brod,,Nerealizovano,8.1,336000.00,414777.00,Interni,18/10/2021,01/11/2021,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
37,Šitbořice,,Nerealizovano,5.4,252490.00,325977.00,Externi,01/11/2021,13/11/2021,,,, 224924.13 ,,,,, 112462.07 ,,,,,,, 37487.36 ,,
38,Dolní Bojanovice,,Nerealizovano,7.2,298000.00,398633.00,Externi,08/11/2021,13/11/2021,,,, 275056.77 ,,,,, 137528.39 ,,,,,,, 45842.80 ,,
39,Hodonín,ET,Ukonceno,9.9,310000.00,414473.00,Externi,25/10/2021,13/11/2021,11/01/2022,20/12/2021,20/12/2021, 285986.37 ,21/12/2021,,,, 142993.19 ,,,,,,, 47664.40 ,,
40,Luhačovice,,Nerealizovano,5.4,239000.00,302435.00,Interni,10/11/2021,14/11/2021,,,, 208680.15 ,,,,, 104340.08 ,,,,,,, 34780.03 ,,
41,Hodonín,,Nerealizovano,7.2,312000.00,398479.00,Externi,10/11/2021,22/11/2021,,,, 274950.51 ,,,,, 137475.26 ,,,,,,, 45825.09 ,,
42,Rohatec,,Odlozeno,5.4,265060.00,325978.00,Interni,10/11/2021,19/01/2022,,,, 224924.82 ,,,,, 112462.41 ,,,,,,, 37487.47 ,,
43,Kněždub,,Odlozeno,5.4,251790.00,325690.00,Interni,10/11/2021,23/11/2021,,,, 224726.10 ,,,,, 112363.05 ,,,,,,, 37454.35 ,,
44,Fryšták,,Nerealizovano,3.6,232000.00,290167.00,Interni,15/11/2021,23/11/2021,,,, 200215.23 ,,,,, 100107.62 ,,,,,,, 33369.21 ,,
45,Bojkovice,,Nerealizovano,8.1,320000.00,409525.00,Interni,11/11/2021,12/11/2021,,,, 282572.25 ,,,,, 141286.13 ,,,,,,, 47095.38 ,,
46,Hodonín,JG,Ukonceno,5.4,285930.00,363332.00,Externi,13/11/2021,23/11/2021,20/12/2021,10/12/2021,10/12/2021, 187272.00 ,17/12/2021,10/01/2022,18/01/2022,02/03/2022, 188859.00 ,16/05/2022,26/03/2022,09/05/2022,25.05.2022,17/06/2022,01/06/2022, 41700.00 ,09/06/2022,01/07/2022
47,,,Nerealizovano,5.4,252000.00,325977.00,Externi,13/11/2021,23/11/2021,,,, 224924.13 ,,,,, 112462.07 ,,,,,,, 37487.36 ,,
48,Čejč,WB,Ukonceno,8.7,364308.00,424524.00,Interni,24/11/2021,02/12/2021,25/04/2022,16/12/2021,16/12/2021, 275320.00 ,23/12/2021,21/02/2022,,30/06/2022, 164883.00 ,11/07/2022,04/07/2022,20/07/2022,26.10.2022,,26/10/2022, 48000.00 ,,03/11/2022
49,Čejč,,Nerealizovano,5.4,252000.00,325977.00,Interni,24/11/2021,02/12/2021,,,, 224924.13 ,,,,, 112462.07 ,,,,,,, 37487.36 ,,
50,Mikulov,,Nerealizovano,7.2,316000.00,401563.00,Interni,22/11/2021,06/12/2021,,,, 277078.47 ,,kordula,,, 138539.24 ,,,,,,, 46179.75 ,,
51,Ostrava,LM,Ukonceno,5.4,260000.00,317790.00,Interni,29/11/2021,10/12/2021,16/05/2022,05/01/2022,05/01/2022, 219275.10 ,08/01/2022,24/01/2022,28/01/2022,04/02/2022, 109637.55 ,05/02/2022,18/03/2022,25/05/2022,29.06.2022,29/06/2022,30/06/2022, 36545.85 ,30/06/2022,10/08/2022
52,Šenov u Ostravy,,Nerealizovano,5.4,260000.00,317790.00,Interni,29/11/2021,10/12/2021,,,, 219275.10 ,,,,, 109637.55 ,,,,,,, 36545.85 ,,
